"Year","Prop"
2007,0.0683880246349818
2008,0.0752894095805547
2009,0.0820410436415517
2010,0.0886863753101835
2011,0.0950022348831445
2012,0.101538805761204
2013,0.108093445022327
2014,0.10966690628372
2015,0.102829298476001
2016,0.0892753810096184
2017,0.0692635328599359
