"Year","Prop","Year2"
2007,0.0878038714773366,10
2008,0.0967640107188251,9
2009,0.0929283706471379,8
2010,0.103327953581541,7
2011,0.105353239629723,6
2012,0.103773067997349,5
2013,0.0959295595156719,4
2014,0.0992506623153828,3
2015,0.0980931660684973,2
2016,0.082167798287779,1
2017,0.0346082997607556,0
